Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Campaign,VC_US_S_BRAND,Search,Paused,15,Daily,Target impression share,Google Search,en,United States,Presence,{lpurl},utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp=brand,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_BRAND 2026-08-13; Paused; TIS Top of page 85% — set location/percent in Editor after import if CSV does not apply them; Max CPC $12 (historical Brand avg CPC $11.33 on 1134 clicks; current Brand_VC $1.74 is 5 clicks); $15/day isolation placeholder (George sets before Post); Search only; Presence US; Exact+Phrase; no Broad; final URL=.com homepage; sitelink Contact=/contact-us/; do not Enable until .com tags verified; do not import the CORE Brand_VC pause CSV until Enable day
496-715-1855,Ad group,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single brand AG at launch — split only when query volume justifies unique LP/copy
496-715-1855,Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,virtual coworker,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Exact/Phrase only; no Broad
496-715-1855,Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,virtualcoworker,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Exact/Phrase only; no Broad
496-715-1855,Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,virtual coworker usa,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Exact/Phrase only; no Broad
496-715-1855,Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,virtual coworker staffing,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Exact/Phrase only; no Broad
496-715-1855,Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,virtual coworker reviews,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Exact/Phrase only; no Broad
496-715-1855,Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,virtual coworker pricing,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Exact/Phrase only; no Broad
496-715-1855,Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,virtual coworker,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Exact/Phrase only; no Broad
496-715-1855,Ad,VC_US_S_BRAND,Search,Paused,,Daily,Target impression share,Google Search,,,Presence,,,BRAND_CORE,Paused,,,,,Paused,Responsive search ad,https://www.virtualcoworker.com/,official,brand,Virtual Coworker,Official Virtual Coworker Site,Dedicated Virtual Assistants,Dedicated Filipino Staff,Build Your Remote Team,Serving Businesses Since 2011,Full-Time or Part-Time,Staff Work Your Time Zone,Book Your Consultation,Hire Philippines Talent,Not a Freelancer Marketplace,Recruitment and Support,Build Your Philippines Team,Find Your Next Remote Hire,Virtual Coworker Staffing,"Hire dedicated full-time or part-time Philippines staff. We recruit, vet, and support.",Build your remote team with Virtual Coworker. Since 2011. Staff work your business hours.,Tell us the role. We recruit and screen. You interview on video. Book a consultation.,Not a freelancer marketplace. Dedicated Filipino staff. White-glove support.,,,,,,,,Unpinned RSA; homepage .com; no pricing/guarantees/counts
