keyword_cluster,competitor_keyword_observed,competitor_keyword_inferred,recommended_vc_keyword,suggested_match_type,employer_intent_strength,jobseeker_contamination_risk,estimated_volume_cpc,vc_overlap,vc_current_lp,recommended_action,evidence,confidence
ph_va_geo,virtual assistant in the philippines,,virtual assistant philippines,Exact,high,medium (bare VA + country can leak jobs),not pulled (no Keyword Planner / Semrush this pass),yes — Offshore_VA_PH bids virtual assistant philippines / philippines va; search terms include offshore virtual assistants,https://www.virtualcoworker.app/us,build now,utm_term=virtual assistant in the philippines_e on seed click; LP slug/title/H1 match,observed
ph_va_geo,,philippines virtual assistants,philippines virtual assistant,Exact,high,medium,,yes — Offshore_VA_PH,https://www.virtualcoworker.app/us,build now,LP title + slug google-philippines-virtual-assistants,high-confidence inference
generic_va,,virtual assistants,virtual assistants,Exact (only if already live; else ignore/negative-watch),medium,high,VC already paused some general VA Exact junk on Hire_VA_PH,yes — Hire_VA_PH has/had virtual assistant(s); ST includes virtual assistant jobs,https://www.virtualcoworker.app/us,ignore,dedicated LP /lp/google-virtual-assistants/; VC ST already showed job leakage on bare VA,high-confidence inference
outsourcing,,virtual assistants outsourcing,virtual assistant outsourcing philippines,Exact,high,low-medium,,yes — agency-intent add + Offshore_VA_PH outsourcing terms,https://www.virtualcoworker.app/us,build now,utm_campaign=LM_US_Virtual_Assistants_Outsourcing; utm_content=Virtual_Assistants_Outsourcing. Dedicated outsourcing slug 404'd.,high-confidence inference (campaign name) / observed (no dedicated LP)
agency_firm,,virtual assistant agency,virtual assistant agency,Exact,very high,low,US CORE buyer signal on Executive,"yes — VA_Agency_Firm_PH / Agency_PH; ST: virtual assistant agency, va company",https://www.virtualcoworker.app/us (staffing candidate /us/staffing not Ads dest),build now,VC proven ST. MOD /lp/google-virtual-assistant-agency/ = 404. They sell agency-like managed VA without an agency-named paid LP.,observed (404) / high-confidence inference (VC overlap)
staffing,,remote staffing agency,remote staffing agency,Exact,very high,medium (temp/remote job bleed — VC ST already shows this),US CORE clicks exist; ST includes remote temp agency junk,yes — Staffing_Agency_PH / Agency_PH top ST,https://www.virtualcoworker.app/us ; /us/staffing candidate only,build now,"VC Executive buyer signal. MOD /lp/google-remote-staffing-agency/ = 404. Need negatives: temp, job, remote work.",observed (404) / observed (VC ST)
real_estate,,real estate virtual assistants,real estate virtual assistant,Exact then Phrase,high,low-medium,not pulled; US restructure marked Real Estate = WATCH,page exists /us/real-estate; not an Ads destination yet,https://www.virtualcoworker.app/us/real-estate (do not point ads until measurement works),controlled test,MOD dedicated paid LP confirmed. VC page exists; 18 Aug restructure says WATCH.,observed (MOD LP) / observed (VC LP status)
bookkeeping,,bookkeeping virtual assistant,bookkeeping virtual assistant,Exact,high,low,"GA4 10–16 Aug: /us/bookkeeping 40 sessions, 47.5% engaged — top role LP",yes — Bookkeeping_Hire_PH; strongest role traffic,https://www.virtualcoworker.app/us/bookkeeping,build now,MOD role listed on paid LPs; /lp/google-bookkeeping/ and bookkeeping-virtual-assistants 404. VC already has the dedicated page + traffic.,observed (VC GA4 + MOD 404 + role grid)
customer_service,,customer service virtual assistant,virtual assistant customer service,Exact,high,medium (CSR job titles),"GA4 /us/customer-service 22 sessions, 68.2% engaged — best role engagement",yes — Customer_Service_Hire_PH / Outsource_PH,https://www.virtualcoworker.app/us/customer-service,build now,MOD lists CS on paid LPs; no dedicated paid LP. VC role page already converting attention.,observed
sales_setter,,inside sales virtual assistant,virtual appointment setter,Exact,high,medium-high (setter jobs),"GA4 /us/sales 19 sessions, 63.2% engaged","yes — Sales_Hire_PH / Appointment_Setter_Hire_PH; ST: appointment setter, remote setters",https://www.virtualcoworker.app/us/sales,controlled test,"MOD RE LP heavily ISA/cold-call; generic LPs list Inside Sales & SDR. No /lp/google-inside-sales-agent/. VC restructure said pause setters — keep evidence, do not expand yet.",high-confidence inference
