Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au,,,,,,,,,,,,,,,,,,,,,,Tell Us Who You Need,Employer hiring path,Form for businesses,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/how-it-works?market=au,,,,,,,,,,,,,,,,,,,,,,How Hiring Works,"Recruit, vet, shortlist",You interview talent,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/quiz,,,,,,,,,,,,,,,,,,,,,,Take the VA Quiz,Find the right role,A few taps. Employers.,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/services?market=au,,,,,,,,,,,,,,,,,,,,,,Hire by Role,"Admin, books, marketing",Philippines staff seats,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/administrative-support,,,,,,,,,,,,,,,,,,,,,,Admin Support Hire,EA / admin category LP,Role-specific landing,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/bookkeeping,,,,,,,,,,,,,,,,,,,,,,Bookkeeping Hire,Philippines books staff,Category landing page,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au,,,,,,,,,,,,,,,,,,,,,,Tell Us Who You Need,Employer hiring path,Form for businesses,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/how-it-works?market=au,,,,,,,,,,,,,,,,,,,,,,How Hiring Works,"Recruit, vet, shortlist",You interview talent,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/quiz,,,,,,,,,,,,,,,,,,,,,,Take the VA Quiz,Find the right role,A few taps. Employers.,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/digital-marketing,,,,,,,,,,,,,,,,,,,,,,Digital Marketing Hire,Philippines marketing staff,Category landing page,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/social-media,,,,,,,,,,,,,,,,,,,,,,Social Media Hire,Philippines SMM staff,Category landing page,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/bookkeeping,,,,,,,,,,,,,,,,,,,,,,Bookkeeping Hire,Philippines books staff,Category landing page,,,,,Sitelink add 2026-08-12; Campaign Status blank (live-safe); microsite only — no WP; not account-level / not Brand; no #gate in Final URL
