account,customer_id,name,status,type,category,primary_for_goal,include_in_conversions_metric,counting_type,quality,confidence,conversions,all_conversions,date_range,note
US,4967151855,Contact Us Form Submitted [Original],ENABLED,WEBPAGE,SUBMIT_LEAD_FORM,False,False,ONE_PER_CLICK,form submission of uncertain quality,uncertain,5.0,36.0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
US,4967151855,Custom LP Form Submission [GA4],ENABLED,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM,False,False,MANY_PER_CLICK,form submission of uncertain quality,uncertain,0,3.0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
US,4967151855,Custom LP Meeting Scheduled [GA4],ENABLED,GOOGLE_ANALYTICS_4_CUSTOM,BOOK_APPOINTMENT,False,False,MANY_PER_CLICK,form submission of uncertain quality,probable employer,0,0.38,2024-08-01 to 2026-08-12,Appointment/schedule signal. Not proof the booker was an employer or that the call happened.
US,4967151855,eBook Download (All Web Site Data),HIDDEN,UNIVERSAL_ANALYTICS_GOAL,SUBMIT_LEAD_FORM,True,True,MANY_PER_CLICK,page view or engagement signal,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,Not an employer lead. Historically Primary / included in Conversions — inflated Smart Bidding.
US,4967151855,Free Consultation Form Submitted [Original],ENABLED,WEBPAGE,SUBMIT_LEAD_FORM,False,False,ONE_PER_CLICK,form submission of uncertain quality,uncertain,1035.82,1843.0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
US,4967151855,Lead form - Submit,ENABLED,LEAD_FORM_SUBMIT,SUBMIT_LEAD_FORM,False,False,ONE_PER_CLICK,form submission of uncertain quality,uncertain,0,0,2024-08-01 to 2026-08-12,WP consult/contact form. Dual-door Job radio + .ph nav. No CRM proof.
US,4967151855,VC US — virtualcoworker.app (web) close_convert_lead,HIDDEN,GOOGLE_ANALYTICS_4_CLOSE_CONVERT_LEAD,CONVERTED_LEAD,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
US,4967151855,VC US — virtualcoworker.app (web) purchase,HIDDEN,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
US,4967151855,VC US — virtualcoworker.app (web) qualify_lead,HIDDEN,GOOGLE_ANALYTICS_4_QUALIFY_LEAD,QUALIFIED_LEAD,False,False,MANY_PER_CLICK,unverifiable,duplicate-non-lead,0,0,2024-08-01 to 2026-08-12,GA4 auto-import. Meaning changed or empty.
US,4967151855,VC_US_Phone_Call_From_Ads,ENABLED,AD_CALL,PHONE_CALL_LEAD,True,False,ONE_PER_CLICK,qualified-duration phone call,uncertain,0,0,2024-08-01 to 2026-08-12,Call duration may be 60s on new VC_* actions; legacy * names are unverified. Caller could still be a job seeker.
US,4967151855,VC_US_Phone_Call_From_Website,ENABLED,WEBSITE_CALL,PHONE_CALL_LEAD,True,False,ONE_PER_CLICK,qualified-duration phone call,uncertain,0,0,2024-08-01 to 2026-08-12,Call duration may be 60s on new VC_* actions; legacy * names are unverified. Caller could still be a job seeker.
