Account,Row Type,Campaign,Campaign Status,Budget,Bid Strategy Type,Ad Group,Ad Group Status,Keyword,Criterion Type,Keyword Status,Negative,Comment
496-715-1855,Keyword,VC_US_S_ROLES,,,,Executive_Assistant,,hire executive assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Executive_Assistant,,hire executive assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Admin_Assistant,,hire virtual administrative assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Admin_Assistant,,hire virtual administrative assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Admin_Assistant,,virtual administrative assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Admin_Assistant,,virtual administrative assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Customer_Support,,remote customer service team,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Customer_Support,,remote customer service team,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Customer_Support,,hire customer service virtual assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,Customer_Support,,hire customer service virtual assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,HR_Recruiting,,hr virtual assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,HR_Recruiting,,hr virtual assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,HR_Recruiting,,recruiting virtual assistant,Exact,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
496-715-1855,Keyword,VC_US_S_ROLES,,,,HR_Recruiting,,recruiting virtual assistant,Phrase,Paused,,Pause soft/generic positive — job-seeker leak under phrase. Keep outsourced/offshore/PH/service terms.
