Account,Campaign,Keyword,Match type,Comment
496-715-1855,VC_US_S_CORE,real estate virtual assistant,Phrase,REVIEW · can be EA/admin or cold caller · do not treat as auto-good · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_CORE,real estate va,Phrase,REVIEW · same mix as generic Real Estate VA · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_CORE,realtor va,Phrase,REVIEW · same mix · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_CORE,realtor virtual assistant,Phrase,REVIEW · same mix · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_CORE,outbound calling,Phrase,REVIEW · can be follow-up language · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_CORE,outbound prospecting,Phrase,REVIEW · can be research language · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_CORE,appointment setter,Phrase,REVIEW · still in paused Sales keywords for non-RE · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_CORE,transaction coordinator,Phrase,REVIEW · old LP role; not in successful placement list · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_ROLES,real estate virtual assistant,Phrase,REVIEW · can be EA/admin or cold caller · do not treat as auto-good · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_ROLES,real estate va,Phrase,REVIEW · same mix as generic Real Estate VA · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_ROLES,realtor va,Phrase,REVIEW · same mix · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_ROLES,realtor virtual assistant,Phrase,REVIEW · same mix · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_ROLES,outbound calling,Phrase,REVIEW · can be follow-up language · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_ROLES,outbound prospecting,Phrase,REVIEW · can be research language · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_ROLES,appointment setter,Phrase,REVIEW · still in paused Sales keywords for non-RE · DO NOT IMPORT with safe file
496-715-1855,VC_US_S_ROLES,transaction coordinator,Phrase,REVIEW · old LP role; not in successful placement list · DO NOT IMPORT with safe file
