displayed_number,e164,country_market,surface,intended_purpose,use_class,underlying_destination,ivr_path,primary_owner,backup_owner,business_hours,after_hours,voicemail_destination,missed_call_notify,call_log_system,crm_integration_status,google_ads_call_reporting,earliest_record_available,evidence_label,notes
"(888) 964-8644",+18889648644,US,"virtualcoworker.app/us · WP US · Ads Call asset VC_US_*",Public US sales / new-client line,new-client_mixed,"Forwards to Zoho Voice 323-300-2663 since 2026-08-19 (Raffie)","1 Cheyenne new client · 2 Jona support · 3 Cheyenne other · 4 menu",Cheyenne Gichana,UNCONFIRMED_Braden_to_name,"Mon–Fri 9am–9pm EST","Weekend closed message; VM still possible",VM on no answer (press 1),us@virtualcoworker.com,"Zoho Voice (from Aug 19) · prior IVR/extensions (pre Aug 19)","PARTIAL CTI Call stubs in CRM Calls; DID shown as caller; no Lead auto-create","US Call asset + website-call 60s configured","Voice: 2026-08-19 · Pre-Aug19: UNAVAILABLE",LIVE+MANUAL,"Public number restored 2026-08-10 after brief 310 swap. Format standardized on microsite 2026-08-24."
"888-964-8644",+18889648644,US,Historical mobile microsite display (fixed),Same as 888,new-client_mixed,Same as above,Same,Cheyenne,UNCONFIRMED,Same,Same,Same,us@,Same,Same,Was mismatched vs website-call tag format,n/a,DERIVED,"Display-only variant; corrected to (888) 964-8644."
323-300-2663,+13233002663,US,Zoho Voice DID (not public marketing),Inbound trunk for forwarded 888,mixed_ivr,Zoho Voice platform,See 888 IVR,Cheyenne (opt1/3) · Jona (opt2),UNCONFIRMED,Same as US,Same,VM,us@,Zoho Voice,Same as 888 path,Not an Ads Call asset,2026-08-19,MANUAL,Raffie confirmed divert from 888 began Aug 19.
"(310) 730-9126",+13107309126,US,"Cheyenne direct · briefly Ads Call asset 2026-08-10",US sales personal / former ad call asset,new-client,Cheyenne handset / divert target,none documented,Cheyenne Gichana,UNCONFIRMED,US sales hours,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE if any,"No evidence of auto CRM create from this DID in this audit","Briefly ENABLED on VC_US_* then REMOVED; 888 restored",2026-08-10 asset notes,LIVE+MANUAL,"Braden diverted 310-426-8776 → this number (completed ~Aug 11)."
"(310) 426-8776",+13104268776,US,Prior Google Ads / ops number (diverted),Was live ad path early Aug then held,new-client,"Diverted to 310-730-9126 (Raffie ~Aug 11)",UNAVAILABLE,Cheyenne (via divert),UNCONFIRMED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Prior provider UNAVAILABLE,UNAVAILABLE,"Removed from VC_* Call assets",Pre-divert logs UNAVAILABLE,MANUAL,"URGENT change thread Aug 7–11. Not public on current microsite."
"888-954-8644",+18889548644,US,Ads asset library (wrong digits),Museum / paused wrong number,error,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PAUSED unlinked,n/a,LIVE,"Do not use. Left unlinked in Ads library."
"(888) 964 8644",+18889648644,US,Ads museum asset formatting variant,Museum,new-client,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unlinked museum,n/a,LIVE,Same digits as public 888.
"1300 886 740",+611300886740,AU,"virtualcoworker.app/au · WP AU · Ads Call AU",Public AU sales,new-client_mixed,UNAVAILABLE (provider/IVR not confirmed this pass),UNAVAILABLE,Holly Wallace,UNCONFIRMED,AU business hours UNAVAILABLE detail,"Voicemail still says Alex (Launch Control waiting)",UNAVAILABLE,UNAVAILABLE (likely apac@ — UNCONFIRMED),UNAVAILABLE,No AU Voice→CRM proof this pass,"AU website-call 60s unverified; Call asset on CORE/ROLES",UNAVAILABLE for inbound history this pass,LIVE+MANUAL,"Keep answering. Low paid phone-click volume (~2)."
"+61 1300 …",+611300886740,AU,WP AU contact variants,Same,new-client_mixed,Same,Same,Holly,UNCONFIRMED,Same,Same,Same,Same,Same,Same,Same,Same,DERIVED,Display variants of 1300.
Braden mobile / founder lines,UNINVENTORIED_PRIVATE,US,Internal / email signatures,Founder — not paid LP CTA,mixed,n/a,n/a,Braden Yuill,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,MANUAL,"Seen in email signatures only; not a Stage 1 paid destination. Do not publish."
Philippines careers,UNINVENTORIED,PH,virtualcoworker.com.ph,Job seekers,job-seeker,n/a,n/a,Recruiting,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,UNAVAILABLE,"Not an employer paid-call path. Out of scope for recovery queue."
