Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Administration_EA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/administrative-support,ea,hire,Hire Executive Assistant,Filipino EA for Business,Virtual EA Philippines,US EA Staffing,Vetted EA Shortlist,Interview Your EA,Dedicated EA Seat,Offshore EA Partner,Admin Assistant Hire,Employer Hiring Path,Remote EA Specialist,Not Freelance EA Gigs,Made for US SMBs,Executive Ops Capacity,Tell Us Who You Need,Hire a dedicated Filipino executive assistant through a staffing partner.,"Shortlist is interview-ready; we handle recruiting, vetting, and support.",For US employers who need a reliable remote EA seat.,Ongoing executive support — not marketplace personal-assistant gigs.,,,,,,,,Pause old RSA 2026-08-12; CTR below 5% · old EA/VA copy; Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923820
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Administration_EA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/administrative-support,ea,ph,{KeyWord:Hire Virtual EA},Philippines EA Hire,Remote Executive Support,Filipino Admin Assistant,Calendar & Travel Ops,Stakeholder Coord VA,Scale Executive Bandwidth,US Leaders Hiring,Dedicated EA Capacity,Partner-Managed EA Hire,Interview-Ready EAs,Clear Employer Process,Office Admin Philippines,Virtual Admin Specialist,Request Hiring Shortlist,Fill executive assistant roles with vetted Philippines specialists.,"Support for calendar control, coordination, and executive follow-through.",Staffing support shaped for leaders in your US business.,We specialize in remote EA hires for employers.,,,,,,,,Pause old RSA 2026-08-12; CTR below 5% · old DKI + EA copy; Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923823
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Accounting_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/accounting,accounting,hire,Hire Accountant Philippines,Filipino Accountant Hire,Virtual Accountant PH,US Finance Staffing,Vetted Accounting Shortlist,Interview Your Finalists,Dedicated Accounting Seat,AP Specialist for Hire,Remote Staff Accountant,Employer Hiring Path,Accounting VA Philippines,Not Task Marketplace,Built for US SMBs,Ongoing Finance Capacity,Tell Us Who You Need,Hire dedicated Filipino accounting staff through a staffing partner.,"You interview shortlisted talent; we recruit, vet, and support placement.",For US employers adding remote AP/AR and accounting capacity.,Dedicated accounting hires — not freelance bookkeeping gigs.,,,,,,,,Pause old RSA 2026-08-12; CTR below 5% · old PH abbrev copy; Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923832
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Accounting_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/accounting,outsource,acct,Outsource Accounting PH,Offshore Accounting Staff,Philippines Finance Ops,US Accounting Partner,Dedicated Finance Seat,Not Gig Bookkeeping,Vetted Accounting Staff,AP/AR Outsourcing PH,Remote Finance Capacity,Employer-Only Path,Accounting Staff Placement,Predictable Close Support,For US SMBs,Ongoing Ledger Capacity,Start Hiring Request,Outsource accounting support to dedicated Philippines specialists.,Staffing partner model with interview control before placement.,Designed for US employers who need offshore finance ops capacity.,"Recruit, vet, and manage support around your accounting workflows.",,,,,,,,Pause old RSA 2026-08-12; CTR below 5% · old PH abbrev copy; Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923961
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Bookkeeping_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,books,hire,Hire Bookkeeper Philippines,Filipino Bookkeeper Hire,Virtual Bookkeeper PH,US Books Staffing,Vetted Books Shortlist,Interview Before Hire,Dedicated Books Seat,QuickBooks VA Hire,Xero Bookkeeper Hire,Employer Hiring Path,Remote Books Specialist,Not Marketplace Gigs,Built for US SMBs,Weekly Books Capacity,Tell Us Who You Need,Hire a dedicated Filipino bookkeeper through a staffing partner.,"Interview shortlisted talent; we recruit, vet, and support the hire.",For US employers who need reliable weekly books capacity.,Ongoing bookkeeping hires — not marketplace task bundles.,,,,,,,,Pause old RSA 2026-08-12; CTR below 5% · old PH abbrev copy; Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923970
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Bookkeeping_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,outsource,books,Outsource Bookkeeping PH,Offshore Bookkeeper Hire,Philippines Books Team,US Books Partner,Dedicated Books Seat,Not Freelance Books,Vetted Bookkeeping Staff,Books Ops Outsourcing,Remote Books Capacity,Employer-Only Intake,Bookkeeper Placement,Predictable Books Coverage,For US SMBs,Ongoing Reconciliation,Start Hiring Request,Outsource bookkeeping to dedicated Philippines specialists.,"Keep approval control; we recruit, vet, and support the seat.",Built for US employers who want accountable offshore books help.,Partner-led outsourcing with interview-before-placement discipline.,,,,,,,,Pause old RSA 2026-08-12; CTR below 5% · old PH abbrev copy; Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923979
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Customer_Service_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,shortlist,cs,Shortlist Support Agents,Vetted CS Finalists,Support Hire Shortlist,Recruit CS Then Interview,PH Support Screening,Skip Freelance Agents,Support Role to Shortlist,Get CS Candidates Ready,Employer Support Hire Path,Screened Chat Email Help,Helpdesk Hire Pipeline,CS Seat Shortlist,Staffing Pipeline Support,Interview-Ready Agents,Ask for Support Shortlist,Need customer service staff? We recruit and screen Philippines support talent.,Shortlist-first hiring: you interview; we source and vet CS finalists.,Speed means a ready staffing pipeline — not an SLA promise.,Tell us the support seat. Review vetted agents before you hire.,,,,,,,,Pause old RSA 2026-08-12; CTR below 5% · old CS/abbrev copy; Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923994
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Customer_Service_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,dedicated,cs,Dedicated PH Support Seat,Same Agent Coverage Daily,Accountable Care Capacity,Philippines Support Continuity,Not Rotating Gig Agents,Offshore Support Ownership,Support Seat You Keep,Interview Agents Then Place,Vetted Helpdesk Seat PH,Remote Care Ownership,Staffing Not Gig Support,Proof in Dedicated CS,Ticket Seat From PH,Chat Email Seat Dedicated,Request Dedicated Support,Outsource support with a dedicated Philippines seat — not rotating agents.,Proof is continuity: one vetted support seat you interview first.,Built for US employers who need accountable offshore customer care.,Partner-led model. Response-time and CSAT goals set after we talk.,,,,,,,,Pause old RSA 2026-08-12; CTR below 5% · old PH abbrev copy; Campaign/Ad Group Status blank (live-US-safe); ad_id=820036924003
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Digital_Marketing_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/digital-marketing,digital,va,{KeyWord:Hire Marketing VA},PPC & SEO Support Hire,Content Ops From PH,Email Marketing VA PH,Filipino Growth Marketer,Campaign Reporting VA,Scale Marketing Bandwidth,US Teams Hiring Now,Philippines Marketing Talent,Dedicated Channel Support,Interview-Ready Shortlist,Remote Marketing Specialist,Partner-Managed Placement,No Marketplace Guesswork,Request Hiring Shortlist,Fill digital marketing roles with vetted Philippines specialists.,"Support campaigns, content ops, and reporting for your US business.","Staffing partner workflow: shortlist, interview, then dedicated hire support.",We specialize in remote marketing hires for employers.,,,,,,,,Pause old RSA 2026-08-12; old copy / make room for human RSAs (above 5%; DKI/VA; 20% winner kept); Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923787
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Digital_Marketing_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/digital-marketing,outsource,mkt,Outsource Marketing to PH,Offshore Marketing Staff,Philippines Marketing Team,US Outsourcing Partner,Dedicated Marketing Seat,Not a Freelance Bench,Vetted Offshore Marketers,Campaign Ops Outsourcing,Remote Marketing Capacity,Employer-Only Path,Marketing Staff Placement,Clear Outsourcing Process,For US SMBs,Ongoing Not Project-Only,Start Hiring Request,Outsource digital marketing support to dedicated Philippines staff.,A staffing partner places ongoing capacity — you keep interview control.,Designed for US employers scaling marketing without local payroll drag.,"Offshore marketing ops with recruit, vet, and manage support.",,,,,,,,Pause old RSA 2026-08-12; old copy / make room for human RSAs (3 impr noise; old PH; 50% seat kept); Campaign/Ad Group Status blank (live-US-safe); ad_id=820036923793
